0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
5508 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – UnInverted multi-valued field {field=dc_creator_sm,memSize=5321,tindexSize=56,time=14,phase1=14,nTerms=51,bigTerms=2,termInstances=75,uses=0}
5577 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – UnInverted multi-valued field {field=dc_subject_sm,memSize=6086,tindexSize=48,time=23,phase1=23,nTerms=88,bigTerms=9,termInstances=173,uses=0}
5592 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=null path=null params={event=newSearcher&q=stanford&distrib=false} hits=0 status=0 QTime=185 
5737 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=null path=null params={event=newSearcher&q=polygon&distrib=false} hits=11 status=0 QTime=145 
5770 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – QuerySenderListener done.
5770 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] Registered new searcher Searcher@5340d9b5[blacklight-core] main{StandardDirectoryReader(segments_6f:590:nrt _6a(4.10.3):C158/28:delGen=18 _6l(4.10.3):C10 _6m(4.10.3):C1 _6n(4.10.3):C1 _6o(4.10.3):C1 _6p(4.10.3):C1 _6q(4.10.3):C1 _6r(4.10.3):C1 _6s(4.10.3):C1 _6t(4.10.3):C1 _6v(4.10.3):C1 _6w(4.10.3):C1 _6x(4.10.3):C1 _6y(4.10.3):C1 _6z(4.10.3):C1 _70(4.10.3):C1 _71(4.10.3):C1 _72(4.10.3):C1 _73(4.10.3):C1 _74(4.10.3):C1)}
5820 [recoveryExecutor-7-thread-1] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [blacklight-core] {add=[http://arks.princeton.edu/ark:/88435/000002207 (1496267910506610688)]} 0 1694
5820 [recoveryExecutor-7-thread-1] WARN  org.apache.solr.update.UpdateLog  – Log replay finished. recoveryInfo=RecoveryInfo{adds=1 deletes=0 deleteByQuery=0 errors=0 positionOfStart=0}
11865 [qtp1992630282-12] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={f.dc_creator_sm.facet.limit=9&f.dc_rights_s.facet.limit=9&facet=true&sort=score+desc,+dc_title_sort+asc&f.solr_year_i.facet.limit=11&f.dc_format_s.facet.limit=9&stats=true&f.dct_provenance_s.facet.limit=9&q.alt=*:*&f.dc_publisher_s.facet.limit=9&wt=ruby&rows=10&f.layer_geom_type_s.facet.limit=9&f.dct_spatial_sm.facet.limit=9&start=0&stats.field=solr_year_i&f.dc_subject_sm.facet.limit=9&f.dct_isPartOf_sm.facet.limit=9&facet.field=dct_provenance_s&facet.field=dc_creator_sm&facet.field=dc_publisher_s&facet.field=dc_subject_sm&facet.field=dct_spatial_sm&facet.field=dct_isPartOf_sm&facet.field=solr_year_i&facet.field=dc_rights_s&facet.field=layer_geom_type_s&facet.field=dc_format_s&qt=search} hits=158 status=0 QTime=50 
14541 [qtp1992630282-13] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={f.dc_creator_sm.facet.limit=9&f.dc_rights_s.facet.limit=9&facet=true&sort=score+desc,+dc_title_sort+asc&f.solr_year_i.facet.limit=11&f.dc_format_s.facet.limit=9&stats=true&f.dct_provenance_s.facet.limit=9&q.alt=*:*&f.dc_publisher_s.facet.limit=9&wt=ruby&rows=10&f.layer_geom_type_s.facet.limit=9&f.dct_spatial_sm.facet.limit=9&start=0&stats.field=solr_year_i&f.dc_subject_sm.facet.limit=9&f.dct_isPartOf_sm.facet.limit=9&facet.field=dct_provenance_s&facet.field=dc_creator_sm&facet.field=dc_publisher_s&facet.field=dc_subject_sm&facet.field=dct_spatial_sm&facet.field=dct_isPartOf_sm&facet.field=solr_year_i&facet.field=dc_rights_s&facet.field=layer_geom_type_s&facet.field=dc_format_s&qt=search&fq={!raw+f%3Ddct_provenance_s}Princeton} hits=154 status=0 QTime=32 
15782 [qtp1992630282-14] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={f.dc_creator_sm.facet.limit=9&f.dc_rights_s.facet.limit=9&facet=true&sort=score+desc,+dc_title_sort+asc&f.solr_year_i.facet.limit=11&f.dc_format_s.facet.limit=9&stats=true&f.dct_provenance_s.facet.limit=9&q.alt=*:*&f.dc_publisher_s.facet.limit=9&wt=ruby&rows=0&f.layer_geom_type_s.facet.limit=9&f.dct_spatial_sm.facet.limit=9&facet.query=solr_year_i:[1578+TO+1599]&facet.query=solr_year_i:[1600+TO+1649]&facet.query=solr_year_i:[1650+TO+1699]&facet.query=solr_year_i:[1700+TO+1749]&facet.query=solr_year_i:[1750+TO+1799]&facet.query=solr_year_i:[1800+TO+1849]&facet.query=solr_year_i:[1850+TO+1899]&facet.query=solr_year_i:[1900+TO+1949]&facet.query=solr_year_i:[1950+TO+1999]&facet.query=solr_year_i:[2000+TO+2006]&start=0&stats.field=solr_year_i&f.dc_subject_sm.facet.limit=9&f.dct_isPartOf_sm.facet.limit=9&qt=search&fq={!raw+f%3Ddct_provenance_s}Princeton} hits=154 status=0 QTime=42 
883474 [qtp1992630282-15] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={id=princeton-00000164j&q={!raw+f%3Dlayer_slug_s+v%3D$id}&qt=document&wt=ruby} hits=1 status=0 QTime=6 
883499 [qtp1992630282-16] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={f.dc_creator_sm.facet.limit=9&f.dc_rights_s.facet.limit=9&facet=false&sort=score+desc,+dc_title_sort+asc&f.solr_year_i.facet.limit=11&f.dc_format_s.facet.limit=9&stats=true&f.dct_provenance_s.facet.limit=9&q.alt=*:*&f.dc_publisher_s.facet.limit=9&wt=ruby&rows=2&f.layer_geom_type_s.facet.limit=9&f.dct_spatial_sm.facet.limit=9&fl=*&start=0&stats.field=solr_year_i&f.dc_subject_sm.facet.limit=9&f.dct_isPartOf_sm.facet.limit=9&facet.field=dct_provenance_s&facet.field=dc_creator_sm&facet.field=dc_publisher_s&facet.field=dc_subject_sm&facet.field=dct_spatial_sm&facet.field=dct_isPartOf_sm&facet.field=solr_year_i&facet.field=dc_rights_s&facet.field=layer_geom_type_s&facet.field=dc_format_s&qt=search&fq={!raw+f%3Ddct_provenance_s}Princeton} hits=154 status=0 QTime=6 
889002 [qtp1992630282-17] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={id=princeton-00000164j&q={!raw+f%3Dlayer_slug_s+v%3D$id}&qt=document&wt=ruby} hits=1 status=0 QTime=5 
